"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 14:53:48 UTC 2022","Thu Aug 11 14:53:48 UTC 2022","108","","tests.CartTests","","tests.CartTests","cancel cart","cancel cart()","cancelando carrinhos existentes"
"passed","Thu Aug 11 14:53:48 UTC 2022","Thu Aug 11 14:53:48 UTC 2022","101","","tests.CartTests","","tests.CartTests","submit cart","submit cart()","Concluindo compra carrinho"
"passed","Thu Aug 11 14:53:45 UTC 2022","Thu Aug 11 14:53:45 UTC 2022","135","","tests.UserTests","","tests.UserTests","get user by _id","get user by _id()","Listando usuário por _id"
"passed","Thu Aug 11 14:53:46 UTC 2022","Thu Aug 11 14:53:47 UTC 2022","433","","tests.ProductTests","","tests.ProductTests","update a product","update a product()","alterando um produto"
"passed","Thu Aug 11 14:53:46 UTC 2022","Thu Aug 11 14:53:46 UTC 2022","326","","tests.ProductTests","","tests.ProductTests","get product by id","get product by id()","consultando produto pelo _id"
"passed","Thu Aug 11 14:53:44 UTC 2022","Thu Aug 11 14:53:45 UTC 2022","338","","tests.UserTests","","tests.UserTests","create a new user","create a new user()","Criando novo usuário"
"passed","Thu Aug 11 14:53:45 UTC 2022","Thu Aug 11 14:53:45 UTC 2022","320","","tests.UserTests","","tests.UserTests","update an user","update an user()","Alterando um usuário"
"passed","Thu Aug 11 14:53:44 UTC 2022","Thu Aug 11 14:53:44 UTC 2022","130","","tests.UserTests","","tests.UserTests","list all users","list all users()","Listando todos Usuários"
"passed","Thu Aug 11 14:53:43 UTC 2022","Thu Aug 11 14:53:44 UTC 2022","137","","tests.LoginTests","","tests.LoginTests","login failed","login failed()","Login com falha"
"passed","Thu Aug 11 14:53:46 UTC 2022","Thu Aug 11 14:53:46 UTC 2022","128","","tests.ProductTests","","tests.ProductTests","list all products","list all products()","Listando todos Produtos"
"passed","Thu Aug 11 14:53:43 UTC 2022","Thu Aug 11 14:53:43 UTC 2022","213","","tests.LoginTests","","tests.LoginTests","login succeeded","login succeeded()","Login bem sucedido"
"passed","Thu Aug 11 14:53:44 UTC 2022","Thu Aug 11 14:53:44 UTC 2022","160","","tests.LoginTests","","tests.LoginTests","login failed - password required","login failed - password required()","Password obrigatório"
"passed","Thu Aug 11 14:53:44 UTC 2022","Thu Aug 11 14:53:44 UTC 2022","135","","tests.LoginTests","","tests.LoginTests","login failed - email required","login failed - email required()","Email obrigatório"
"passed","Thu Aug 11 14:53:48 UTC 2022","Thu Aug 11 14:53:48 UTC 2022","95","","tests.CartTests","","tests.CartTests","list all products","list all products()","Listando todos carrinhos"
"passed","Thu Aug 11 14:53:47 UTC 2022","Thu Aug 11 14:53:47 UTC 2022","403","","tests.ProductTests","","tests.ProductTests","delete a product","delete a product()","deletando um produto"
"passed","Thu Aug 11 14:53:46 UTC 2022","Thu Aug 11 14:53:46 UTC 2022","327","","tests.ProductTests","","tests.ProductTests","create a new product","create a new product()","Criando novo produto"
"passed","Thu Aug 11 14:53:48 UTC 2022","Thu Aug 11 14:53:48 UTC 2022","238","","tests.CartTests","","tests.CartTests","create new cart","create new cart()","Criando um carrinho"
